Name,Publisher,Designer,Small or Sell?,Overall Rank,BGG Rating,Year,Weight
Inventors of the South Tigris,Garphill Games,Shem Phillips/Sam Macdonald,KS,10800,7.9,2024,4.13
Scholars of the South Tigris,Garphill Games,Shem Phillips/Sam Macdonald,KS,1033,8.2,2023,3.98
Circadians Chaos Order,Garphill Games,Sam Macdonald,KS,2314,8,2022,3.88
Wayfarers of the South Tigris,Garphill Games,Shem Phillips/Sam Macdonald,KS,465,7.9,2022,3.8
Lords of Hellas Ragnarok,,,,3430,7.5,2023,3.78
Root/Riverfolk/Underworld/Marauders/Hirelings,,,KS,30,8.1,2018,3.78
Ark Nova,,,,4,8.5,2021,3.75
Batman Gotham City Chronicles,,,KS,1146,7.6,2019,3.75
Star Wars Rebellion,,,,10,8.4,2016,3.74
Ascendancy,,,KS,12191,8.7,2024,3.73
Paladins of the West Kingdom/City of Crowns,Garphill Games,Shem Phillips/Sam Macdonald,KS,67,8,2019,3.72
Game of Thrones,,,,193,7.5,2011,3.72
Sons of Faeriell,,,KS,8002,7,2022,3.7
Ezra and Nehemiah,Garphill Games,Shem Phillips/Sam Macdonald,KS,8738,8.2,2024,3.67
Tzolkin/Tribes and Prophecies,,,,59,7.9,2012,3.67
Fall of the Mountain King,,,KS,3663,7.5,2022,3.59
An Age Contrived,,,KS,12335,7.4,2024,3.57
Viscounts of the West Kingdom,Garphill Games,Shem Phillips/Sam Macdonald,KS,158,7.9,2020,3.46
Nemesis (All Expansions),,,,21,8.3,2018,3.45
Circadians First Light,Garphill Games,Sam Macdonald,KS,863,7.6,2019,3.44
Scythe (All Expansions),Stonemeier,Jamey Stegmaier,,17,8.2,2016,3.44
Dead Reckoning/Sagas 1-3,,,KS,475,8.2,2022,3.36
Dead of Winter The Long Night,,,,338,7.5,2016,3.35
Lords of Hellas,,,,347,7.7,2018,3.34
Marvel Age of Heroes,,,,8943,6.9,2023,3.33
Project EOS Rise,,,KS,-,8,2021,3.33
Rising Sun,,,KS,115,7.8,2018,3.3
Dinosaur World,,,KS,911,7.4,2021,3.28
Dwellings of Eldervale,,,,113,8.2,2020,3.25
Kemet Blood and Sand,,,KS,311,8,2021,3.23
Batman The Dark Knight Returns,,,KS,4492,7.8,2022,3.2
Ignite/The Freeze/A New Enemy,,,KS,8078,7.5,2021,3.2
Heaven and Ale,,,,320,7.5,2017,3.2
Hadrians Wall,Garphill Games,Bobby Hill,,149,8,2021,3.13
Teenage Mutant Ninja Turtles AUGS,,,KS,3989,8.3,2020,3.13
Ankh Gods of Egypt,,,KS,220,7.8,2021,3.09
Unfathomable,,,,610,7.6,2021,3.06
Pest,,,KS,7571,7.9,2024,3.05
Tiny Epic Dungeons,,,KS,891,7.6,2021,3.05
Dune Imperium/Rise of Ix/Immortality,,,,6,8.4,2020,3.04
Dinosaur Island/Totally Liquid,,,,219,7.6,2017,3.04
Expeditions (Scythe 2) ,Stonemeier,Jamey Stegmaier,,689,7.8,2023,3.02
Dead of Winter,,,,196,7.5,2014,3.01
Cyclades,,,KS,9397,8.5,2024,3
Deliverance,,,KS,4485,8.8,2023,3
Legendary Matrix,,,,7943,8.4,2023,3
Wonderlands War/Shards of Madness,,,KS,226,8.1,2022,3
District 9,,,KS,18012,7.1,2021,3
Yggdrasil Chronicles,,,,3129,7.4,2019,3
Amerigo,,,,475,7.4,2013,2.98
Kingdom Rush Rift in Time/Elemental,,,KS,1404,7.4,2020,2.97
Wasteland Express,,,,987,7.3,2017,2.96
Vivid Memories,,,,4835,6.6,2022,2.94
Hellboy,,,,1332,7.8,2019,2.94
Reavers of Midgard,,,,1032,7.4,2019,2.94
Viticulture/Tuscany,Stonemeier,Jamey Stegmaier,,38,7.5,2013,2.93
Dinogenics/Controlled Chaos,,,KS,971,7.6,2019,2.92
Tapestry/Plans and Ploys/Arts and Architecture,Stonemeier,Jamey Stegmaier,,274,7.4,2019,2.92
Lost Ruins of Arnak,Czech Games Edition,,,28,8.1,2020,2.91
Pendulum,Stonemeier,Travis P Jones,,3253,6.5,2020,2.9
Ghost Stories/White Moon/Black Secret,,,,369,7.3,2008,2.9
Tungaru,,,KS,4390,7,2020,2.89
Betrayal Legacy,,,,517,7.7,2018,2.89
Near and Far/Amber Mines,,,,218,7.7,2017,2.89
Tiny Epic Western,,,,1866,6.6,2016,2.88
Apex Theropod Deck Building Game,,,KS,3510,7.2,2015,2.88
Blood Rage,,,,48,7.9,2015,2.87
Triassic Terror,,,,3290,6.9,2013,2.87
Legacy of Yu,Garphill Games,Shem Phillips,KS,764,8.3,2023,2.86
Five Tribes,,,,78,7.8,2014,2.85
Tiny Epic Pirates,,,KS,1896,7,2021,2.84
Charterstone,Stonemeier,Jamey Stegmaier,,487,7.2,2017,2.84
In the Hall of the Mountain King,,,,579,7.6,2019,2.83
Everdell Complete Collection,,,KS,35,8,2018,2.81
Dinosaur Island Rawr ‘n Write,,,,633,7.7,2021,2.8
Power Rangers Heroes of the Grid,,,KS,2610,7.9,2019,2.75
Space Gate Odyssey,,,,3039,7,2019,2.75
Architects of the West Kingdom/TomeSaga,Garphill Games,Shem Phillips/Sam Macdonald,KS,97,7.7,2018,2.75
Hickory Dickory,,,,4529,7.2,2023,2.74
Teenage Mutant Ninja Turtles Shadows of the Past,,,,2084,7.4,2016,2.74
Marvel DAGGER,,,,5653,7.2,2023,2.73
Transformers The Deck Building Game,,,,5163,7,2021,2.71
Raiders of Scythia,Garphill Games,Shem Phillips,,372,7.8,2020,2.71
Defenders of the Realm,,,,726,7.3,2010,2.71
Villainous Marvel,,,,2175,6.8,2020,2.7
Legendary Alien,,,,151,7.8,2014,2.7
Escape from 100 Million BC,,,,4128,6.8,2017,2.69
Wyrmspan,Stonemeier,Connie Vogelmann,,1620,8.1,2024,2.68
Tiny Epic Vikings,,,KS,3530,7.5,2023,2.67
VikingJarl,,,KS,16516,7.2,2020,2.67
Race for the Chinese Zodiac,,,KS,10792,6.5,2019,2.67
Tiny Epic Quest,,,,973,7,2017,2.67
Legendary Predator,,,,1049,7.4,2015,2.67
Return to Dark Tower/Alliances/Covenant,,,KS,299,8.3,2022,2.65
Lord of the Rings Journeys of Middle Earth,,,,112,7.9,2019,2.65
Godfather Corleone’s Empire,,,,394,7.5,2017,2.64
Tiny Epic Dinosaurs,,,KS,996,7.3,2020,2.62
Comanauts,,,,5284,6.4,2019,2.61
Champions of Midgard/Dark Mountains/Valhalla,,,,130,7.7,2015,2.6
Yggdrasil,,,,1172,7,2011,2.6
Familiar Tales,,,,2791,7.9,2022,2.59
Risk Legacy,,,,488,7.4,2011,2.59
Forbidden Sky,,,,2578,6.4,2018,2.56
Lord of the Rings 20th Anniversary Edition,,,,1076,6.7,2000,2.56
Raiders of the North Sea,Garphill Games,Shem Phillips,,102,7.7,2015,2.55
Endangered/New Species,,,KS,1593,7.5,2020,2.54
Above and Below,,,,340,7.4,2015,2.52
Star Wars Outer Rim,,,,195,7.7,2019,2.51
Shipwrights of the North Sea Redux,Garphill Games,Shem Phillips,KS,4252,8.1,2024,2.5
Maul Peak,,,KS,7990,7.7,2023,2.5
Tiny Epic Mechs,,,,2292,6.7,2019,2.5
Villainous Disney,,,,782,7,2018,2.48
Tiny Epic Zombies,,,,1213,7,2018,2.48
Wingspan/European/Oceania,Stonemeier,Elizabeth Hargrave,,25,8.1,2019,2.46
Crusaders Thy Will Be Done,,,,623,7.5,2018,2.45
Batman Who Laughs Rising,,,,6738,7.1,2020,2.43
Tsuro 3 Phoenix Rising,,,KS,6025,6.4,2019,2.43
Legendary Marvel (All Expansions),,,,236,7.5,2012,2.43
Zombicide 2nd Edition,,,KS,588,8,2021,2.41
Lockup/Breakout,,,KS,1248,7.4,2019,2.4
Specter Ops,,,,737,7.2,2015,2.4
Pandemic/Expansions,,,,134,7.5,2008,2.4
Betrayal at House on Haunted Hill 2nd Edition,,,,652,7,2004,2.39
Villainous Star Wars,,,,2935,7.2,2022,2.38
The Search for Planet X,,,,93,8,2020,2.37
Betrayal at House on Haunted Hill 3rd Edition,,,,1817,7.4,2022,2.36
Isle of Cats/Don’t Forget the Kittens,,,KS,133,7.7,2019,2.36
King of Monster Island,,,,3248,7.3,2020,2.35
Isle of Cats Race to the Raft,,,KS,3864,7.7,2023,2.33
Tesseract,,,,5209,7.6,2023,2.33
Godzilla Tokyo Clash,,,,2295,7.3,2020,2.32
Awkward Guests,,,,336,7.6,2016,2.32
Abyss/Kraken/Leviathan,,,,386,7.3,2014,2.32
Wiz-War,,,,1059,7,2012,2.32
Marvel Zombiecide (KS),,,KS,2380,7.7,2023,2.31
7 Wonders 2nd Edition,,,,91,7.9,2020,2.3
Isle of Cats Explore and Draw,,,,1712,7.5,2022,2.29
Red Rising,Stonemeier,Jamey Stegmaier,,935,7,2021,2.29
Aquatica/Cold Waters,,,,577,7.4,2019,2.29
Wonder Woman Challenge of the Amazons,,,,3657,7.2,2020,2.28
Shipwrights of the North Sea/RuneSaga,Garphill Games,Shem Phillips,,3688,6.4,2014,2.28
Dead Panic,,,,6391,6,2013,2.28
La Isla,,,,1193,6.9,2014,2.25
Cryptid,,,,286,7.5,2018,2.24
Treasure Island,,,,712,7.2,2018,2.24
World of Yo-Ho,,,,5242,6.4,2016,2.23
Century Golem 2 Eastern Mountains,,,,1658,7.4,2019,2.22
Flamecraft,,,,384,7.5,2022,2.21
Skulk Hollow,,,,1527,7.3,2019,2.21
Marvel Zombies Heroes Resistance,,,KS,3271,7.9,2022,2.2
Wizard of Oz Adventure Book Game,,,,8947,6.9,2022,2.2
Ophir,,,,6794,6.7,2015,2.2
X-Men Mutant Insurrection,,,,4757,6.7,2021,2.17
Jaws,,,,952,7.1,2019,2.15
Freelancers,,,,3854,8.1,2023,2.14
Dice Throne Season 2,,,,297,8.1,2018,2.14
Wildlands,,,,1021,7.3,2018,2.14
Lord of the Rings Adventure Book Game,,,,4698,7.3,2023,2.13
Explorers of the North Sea/Rocks of Ruin,Garphill Games,Shem Phillips,,1072,7.3,2016,2.13
Survive Space Attack,,,,3632,7,2015,2.13
